id,date,title,passage
1,02.01.22,Eyes to See,Matthew 13:1-17                                   
2,09.01.22,The Gospe of Grace,Galatians 4:4-5                                   
3,16.01.22,"Renewal of Culture, Culture of Renewal",Acts 2                                            
4,23.01.22,A Prayer for Discipleship,1 Thessalonians 5:11                              
6,06.02.22,A Vision for Church Planting,Matthew 13:1-9                                    
7,13.02.22,Kairos: A Sense of God's Timing,Matthew 13:24-30; Galatians 6:10                  
8,20.02.22,The King of Glory,Psalm 24                                          
9,27.02.22,The Time for Discipleship is Now,1 Thessalonians 5:1-22                            
10,06.03.22,Begin Investing into Families Today,Psalm 127                                         
5,30.01.22,The Phillippian Jailer Converted,Acts 16:25-34                                     
11,13.03.22,Pride of a Father,Jonah 3                                           
12,20.03.22,It was the Worst of Times,Ruth 1:1-5                                        
13,27.03.22,A History of Bitterness,Ruth 1:6-22                                       
14,03.04.22,The House of Bread Has Bread Again,Ruth 2:1-3                                        
15,10.04.22,Time Keeps on Ticking,Ruth 2:4-23                                       
16,15.04.22,Solace in Your Suffering,Luke 22:39-46                                     
17,17.04.22,Building Faith With the Breaking of Bread,Luke 24:13-35                                     
18,24.04.22,A Good () is Hard to Find,Ruth 3:1-15                                       
19,01.05.22,Love and Marriage,Ruth 3:16-18                                      
20,08.05.22,Mr. What's-His-Name,Ruth 4:1-12                                       
21,15.05.22,Outside In,Ruth 4:13-22                                      
22,22.05.22,Compassion Sunday,                                                  
24,05.06.22,Seeing is Believing,Romans 6:4-6                                      
25,12.06.22,Through the Waters,Matthew 28:19-20                                  
26,19.06.22,Fingers Crossed,Romans 4:9-12; Colossians 2:11-15                 
27,26.06.22,Need Each Other,Matthew 3:13-17                                   
28,03.07.22,Water the Seed,Deuteronomy 11:18-21                              
29,10.07.22,Keep Your Words,Acts 22:6-21                                      
30,17.07.22,Wintercon Sunday Service - James Fong,                                                  
31,24.07.22,The Church and God's Multifaceted Wisdom,Ephisians 3:1-13                                  
32,31.07.22,It's a Camp Thing,Acts 2                                            
33,07.08.22,You Only Break Bread with Those at Your Table,Hebrews 10:19-25                                  
34,14.08.22,Letters from the Past,1 Corinthians 1:1-9                               
35,21.08.22,Sibling Rivalry,1 Corinthians 1:10-17                             
36,28.08.22,"",                                                  
37,04.09.22,Foolish Wisdom,1 Corinthians 2:6-3:4                             
38,11.09.22,God's Garden Temple,1 Corinthians 3:5-23                              
39,18.09.22,Ministers and Minstrels,1 Corinthians 4:1-17                              
23,29.05.22,You Should Read the Old Testament!,Colossians 2:11-12                                
